Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (£m)
02/02/2009,1SPATIAL PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,52.59
18/07/1994,3I GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"16,400.28"
13/03/2007,3I INFRASTRUCTURE PLC,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,"2,886.96"
17/08/2017,450 PLC,Financials,Financial Services ,Jersey,Europe,AIM ,No,12.41
17/02/2021,4BASEBIO PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,80.69
07/12/2021,4GLOBAL PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,13.96
13/03/1953,4IMPRINT GROUP PLC,Consumer Discretionary,Media,United Kingdom,Europe,MAIN MARKET ,No,"1,355.13"
14/07/2011,600 GROUP PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,9.73
04/10/2005,888 HOLDINGS PLC,Consumer Discretionary,Travel and Leisure,Gibraltar,Europe,MAIN MARKET ,Yes,230.53
03/02/2012,88 ENERGY LIMITED,Energy,Energy,Australia,Pacific,AIM ,Yes,100.54
22/05/2013,AB DYNAMICS PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,427.1
24/03/1952,ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,246.48
31/03/1994,ABERDEEN NEW INDIA INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,285.91
10/12/1990,ABERFORTH SMALLER COMPANIES TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"1,044.08"
03/07/2017,ABERFORTH SPLIT LEVEL INCOME TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,191.34
07/10/2020,"AB ""IGNITIS GRUPE""",Utilities,Utilities,Lithuania,Europe,MAIN MARKET ,Yes,-
15/12/2020,ABINGDON HEALTH PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,7.61
19/10/1995,ABRDN ASIA FOCUS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,399.93
20/12/2005,ABRDN ASIAN INCOME FUND LIMITED,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,359.05
10/11/2009,ABRDN CHINA INVESTMENT COMPANY LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,237.93
14/11/1991,ABRDN EQUITY INCOME TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,157.04
15/12/2017,ABRDN EUROPEAN LOGISTICS INCOME PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,281.52
01/10/1998,ABRDN JAPAN INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,69.31
16/08/2010,ABRDN LATIN AMERICAN INCOME FUND LIMITED,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,31.98
03/09/2013,ABRDN NEW DAWN INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,288.81
10/07/2006,ABRDN PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"4,073.85"
29/05/2001,ABRDN PRIVATE EQUITY OPPORTUNITIES TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,633.43
19/12/2003,ABRDN PROPERTY INCOME TRUST LIMITED,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,205.48
28/08/1992,ABRDN SMALLER COMPANIES INCOME TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,56.38
19/08/1993,ABRDN UK SMALLER COMPANIES GROWTH TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,383.22
19/07/2021,ACCELER8 VENTURES PLC,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,1.43
28/06/2005,ACCESS INTELLIGENCE PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,101.52
24/04/2002,ACCESSO TECHNOLOGY GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,287.28
10/06/2016,ACCROL GROUP HOLDINGS PLC,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",United Kingdom,Europe,AIM ,No,99.49
26/10/2005,ACCSYS TECHNOLOGIES PLC,Industrials,Construction and Materials,United Kingdom,Europe,AIM ,No,140.4
02/11/1995,ACER INCORPORATED,Technology,Technology,Taiwan,Asia,PROFESSIONAL SECURITIES MARKET ,Yes,-
07/10/2022,ACG ACQUISITION COMPANY LIMITED,Financials,Financial Services ,British Virgin Islands,North America,MAIN MARKET ,Yes,105.14
28/01/2022,ACP ENERGY PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,3.03
06/10/1997,ACTIVE ENERGY GROUP PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,6.72
29/03/2021,ACTIVEOPS PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,58.16
13/02/2014,ACTUAL EXPERIENCE PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,2.43
26/07/2005,ADAMS PLC,Real Estate,Real Estate ,Isle of Man,Europe,AIM ,No,8.02
15/02/2006,ADEPT TECHNOLOGY GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,49.81
16/12/2005,ADM ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,2.01
28/09/2004,ADMIRAL GROUP PLC,Financials,Insurance,United Kingdom,Europe,MAIN MARKET ,No,"6,179.95"
12/12/2019,ADRIATIC METALS PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,565.53
04/12/2020,ADVANCEDADVT LIMITED,Financials,Financial Services ,British Virgin Islands,North America,MAIN MARKET ,Yes,97.9
30/04/2002,ADVANCED MEDICAL SOLUTIONS GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,482.63
04/08/2006,ADVANCED ONCOTHERAPY PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,14.24
20/03/2000,ADVFN PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,13.34
27/07/1938,AECI LD,Basic Materials,Chemicals,South Africa,Africa,MAIN MARKET ,Yes,-
01/05/2002,AEOREMA COMMUNICATIONS PLC,Consumer Discretionary,Media,United Kingdom,Europe,AIM ,No,7.06
12/05/2015,AEW UK REIT PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,145.91
26/07/2010,AFARAK GROUP SE,Basic Materials,Basic Resources,Finland,Europe,MAIN MARKET ,Yes,52
24/04/2007,AFC ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,154.84
21/10/2002,AFENTRA PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,45.55
09/06/2004,AFERIAN PLC,Telecommunications,Telecommunications,United Kingdom,Europe,AIM ,No,20.02
01/06/2021,AFRICAN PIONEER PLC,Basic Materials,Basic Resources,Isle of Man,Europe,MAIN MARKET ,No,3.99
24/07/2007,AFRICA OPPORTUNITY FUND LIMITED,,,Cayman Islands,North America,MAIN MARKET ,Yes,-
05/02/2009,AGRITERRA LD,Consumer Staples ,"Food, Beverage and Tobacco ",Guernsey,Europe,AIM ,No,0.9
15/09/2011,AGRONOMICS LIMITED,Health Care ,Health Care  ,Isle of Man,Europe,AIM ,No,108.15
11/12/2017,AIB GROUP PLC,Financials,Banks,Ireland,Europe,MAIN MARKET ,Yes,"8,709.94"
09/01/2018,AIQ LIMITED,Financials,Financial Services ,Cayman Islands,North America,MAIN MARKET ,Yes,4.86
15/12/2004,AIR CHINA LD,Consumer Discretionary,Travel and Leisure,China,Asia,MAIN MARKET ,Yes,-
21/12/2005,AIREA PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM ,No,15.71
28/06/2019,AIRTEL AFRICA PLC,Telecommunications,Telecommunications,United Kingdom,Europe,MAIN MARKET ,No,"4,002.43"
07/04/2022,AJAX RESOURCES PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,4.22
07/12/2018,AJ BELL PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"1,422.53"
04/04/2005,ALBA MINERAL RESOURCES PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,7.48
27/01/1999,ALBION DEVELOPMENT VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,115.56
05/04/2007,ALBION ENTERPRISE VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,112.42
17/01/2001,ALBION TECHNOLOGY & GENERAL VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,123.04
04/04/1996,ALBION VENTURE CAPITAL TST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,66.44
26/05/2017,ALFA FINANCIAL SOFTWARE HOLDINGS PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,404.24
25/05/2006,ALIEN METALS LIMITED,Basic Materials,Basic Resources,British Virgin Islands,North America,AIM ,Yes,22.37
02/05/2007,ALINA HOLDINGS PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,2.89
27/09/2021,ALKEMY CAPITAL INVESTMENTS PLC,Basic Materials,Chemicals,United Kingdom,Europe,MAIN MARKET ,No,11.16
11/10/2004,ALLERGY THERAPEUTICS PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,42.44
17/12/2015,ALLIANCE PHARMA PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,372.6
17/07/1947,ALLIANCE TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"2,833.65"
04/12/1995,ALLIANZ TECHNOLOGY TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,920.37
11/10/2017,ALPHA FINANCIAL MARKETS CONSULTING PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,486.64
07/04/2017,ALPHA GROUP INTERNATIONAL PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,836.11
20/12/2017,ALPHA GROWTH PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,10.05
21/12/2006,ALPHA REAL TRUST LIMITED,Real Estate,Real Estate ,Guernsey,Europe,MAIN MARKET ,No,75.3
13/05/2021,ALPHAWAVE IP GROUP PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,820.25
01/07/2022,ALTERATION EARTH PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,2.7
06/06/2017,ALTERNATIVE INCOME REIT PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,54.1
17/09/2015,ALTERNATIVE LIQUIDITY FUND LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,5.34
07/11/2005,ALTITUDE GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,33.65
19/12/2014,ALTYNGOLD PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,37.24
30/05/1986,ALUMASC GROUP PLC,Industrials,Construction and Materials,United Kingdom,Europe,AIM ,No,54.02
30/11/2010,ALUMINIUM BAHRAIN B.S.C.,Basic Materials,Basic Resources,Bahrain,Middle East,MAIN MARKET ,Yes,-
02/08/2018,AMALA FOODS PLC,Technology,Technology,Jersey,Europe,MAIN MARKET ,No,1.59
31/07/2020,AMAROQ MINERALS LTD.,Basic Materials,Basic Resources,Canada,North America,AIM ,Yes,110.58
22/02/2001,AMATI AIM VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,170.12
13/05/2015,AMEDEO AIR FOUR PLUS LIMITED,,,Guernsey,Europe,MAIN MARKET ,No,-
06/10/2017,AMER GROUP HOLDING COMPANY S.A.E,Real Estate,Real Estate ,Egypt,Middle East,ADMISSION TO TRADING ONLY ,Yes,-
29/06/2018,AMIGO HOLDINGS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,0.95
06/07/1995,AMINEX PLC,Energy,Energy,Ireland,Europe,MAIN MARKET ,Yes,47.38
12/03/2021,AMTE POWER PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,20.71
15/03/2006,AMUR MINERALS CORPORATION,Basic Materials,Basic Resources,British Virgin Islands,North America,AIM ,Yes,23.75
10/10/1991,ANA HOLDINGS INC.,Consumer Discretionary,Travel and Leisure,Japan,Asia,ADMISSION TO TRADING ONLY ,Yes,-
09/11/2017,ANDRADA MINING LIMITED,Basic Materials,Basic Resources,Guernsey,Europe,AIM ,No,69.2
24/12/2001,ANDREWS SYKES GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,229.64
26/10/2020,ANEMOI INTERNATIONAL LTD,Technology,Technology,British Virgin Islands,North America,MAIN MARKET ,Yes,1.65
20/06/2018,ANEXO GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,125.07
17/03/2004,ANGLE PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,52.12
06/06/1988,ANGLESEY MINING PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,6.35
13/07/2017,ANGLING DIRECT PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,AIM ,No,20.48
24/05/1999,ANGLO AMERICAN PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,"35,820.34"
29/07/2005,ANGLO ASIAN MINING PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,135.38
24/04/1985,ANGLO-EASTERN PLANTATIONS PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,325.02
14/11/2016,ANGUS ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,54.95
15/01/2008,ANIMALCARE GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,94.65
28/11/2006,ANPARIO PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,47.07
05/07/1982,ANTOFAGASTA PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,"15,586.39"
03/03/2014,AO WORLD PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,MAIN MARKET ,No,372.11
15/06/2015,APAX GLOBAL ALPHA LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,761.21
26/08/2016,APQ GLOBAL LIMITED,Financials,Financial Services ,Guernsey,Europe,AIM ,No,4.32
22/12/2021,APTAMER GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,19
02/05/1984,APTITUDE SOFTWARE GROUP PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,215.02
02/06/2021,AQUILA ENERGY EFFICIENCY TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,76.5
05/06/2019,AQUILA EUROPEAN RENEWABLES PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,649.64
28/08/2014,AQUILA SERVICES GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,10.39
14/06/2018,AQUIS EXCHANGE PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,107.32
27/06/2005,ARBUTHNOT BANKING GROUP PLC,Financials,Banks,United Kingdom,Europe,AIM ,No,139.58
15/09/2010,ARC MINERALS LIMITED,Basic Materials,Basic Resources,British Virgin Islands,North America,AIM ,Yes,49.64
04/12/2000,ARCONTECH GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,10.23
03/06/2021,ARECOR THERAPEUTICS PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,79.61
25/06/2019,ARGENTEX GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,137.55
03/08/2018,ARGO BLOCKCHAIN PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,66.9
18/11/2008,ARGO GROUP LIMITED,Financials,Financial Services ,Isle of Man,Europe,AIM ,No,4.29
29/07/2010,ARGOS RESOURCES LIMITED,Energy,Energy,Falkland Islands,Latin America,AIM ,Yes,2.7
28/07/2005,ARIANA RESOURCES PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,32.67
17/02/2017,ARIX BIOSCIENCE PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,136.93
31/07/2007,ARKLE RESOURCES PLC,Basic Materials,Basic Resources,Ireland,Europe,AIM ,Yes,2.17
13/02/2006,ARMADALE CAPITAL PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,8.37
25/10/2021,ARROW EXPLORATION CORP.,Energy,Energy,Canada,North America,AIM ,Yes,37.32
16/10/1998,ARTEMIS ALPHA TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,102.82
07/02/2022,ARTEMIS RESOURCES LIMITED,Basic Materials,Basic Resources,Australia,Pacific,AIM ,Yes,10.93
13/07/2018,ASA INTERNATIONAL GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,78.75
09/02/2016,ASCENTIAL PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,"1,061.02"
10/11/2004,ASCENT RESOURCES PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,4.65
05/04/2007,ASEANA PROPERTIES LIMITED,Real Estate,Real Estate ,Jersey,Europe,MAIN MARKET ,No,17.68
17/10/2006,ASHMORE GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"1,700.60"
06/07/2018,ASHOKA INDIA EQUITY INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,204.45
08/10/1990,ASHTEAD GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,"21,746.45"
23/11/2021,ASHTEAD TECHNOLOGY HOLDINGS PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,243.04
07/09/1987,ASIA DRAGON TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,469.09
13/12/2006,ASIAMET RESOURCES LIMITED,Basic Materials,Basic Resources,Bermuda,North America,AIM ,Yes,24.06
22/08/2017,ASIA STRATEGIC HOLDINGS LIMITED,Consumer Discretionary,Consumer Products and Services,Singapore,Asia,MAIN MARKET ,Yes,14.39
02/04/2003,ASIMILAR GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,2.37
03/10/2001,ASOS PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,MAIN MARKET ,No,820.62
30/03/2007,ASSETCO PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,81.08
05/11/1937,ASSOCIATED BRITISH ENGINEERING PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,0.31
01/08/1994,ASSOCIATED BRITISH FOODS PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,"15,147.10"
28/01/2015,ASSURA PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,"1,446.55"
03/10/2018,ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC,Consumer Discretionary,Automobiles and Parts,United Kingdom,Europe,MAIN MARKET ,No,"1,595.26"
01/06/1993,ASTRAZENECA PLC,Health Care ,Health Care  ,United Kingdom,Europe,MAIN MARKET ,No,"174,077.30"
09/05/2005,ATALAYA MINING PLC,Basic Materials,Basic Resources,Cyprus,Europe,AIM ,Yes,476.91
24/10/2022,ATERIAN PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,7.96
24/09/2008,ATHELNEY TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,4.42
12/02/2015,ATLANTIC LITHIUM LIMITED,Basic Materials,Basic Resources,Australia,Pacific,AIM ,Yes,184.15
10/05/1996,ATLANTIS JAPAN GROWTH FUND LD,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,67.05
30/12/2021,ATOME ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,34.94
23/11/2021,ATRATO ONSITE ENERGY PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,128.33
23/02/2021,AUCTION TECHNOLOGY GROUP PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,743.73
12/12/2005,AUDIOBOOM GROUP PLC,Consumer Discretionary,Consumer Products and Services,Jersey,Europe,AIM ,No,65.28
13/03/2018,AUGMENTUM FINTECH PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,169.82
25/04/2006,AUKETT SWANKE GROUP PLC,Industrials,Construction and Materials,United Kingdom,Europe,AIM ,No,7.57
12/09/2016,AURA ENERGY LIMITED,Basic Materials,Basic Resources,Australia,Pacific,AIM ,Yes,64.6
08/04/2022,AURA RENEWABLE ACQUISITIONS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,0.5
14/03/1997,AURORA INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,162.81
15/09/2022,AURRIGO INTERNATIONAL PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,56.25
22/08/2016,AUTINS GROUP PLC,Consumer Discretionary,Automobiles and Parts,United Kingdom,Europe,AIM ,No,4.37
24/03/2015,AUTO TRADER GROUP PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,"5,661.04"
08/08/2006,AVACTA GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,302.38
06/10/2010,AVATION PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,84
17/06/1943,AVI GLOBAL TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,896
23/10/2018,AVI JAPAN OPPORTUNITY TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,165.63
14/10/2004,AVINGTRANS PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,135.45
04/06/1990,AVIVA PLC,Financials,Insurance,United Kingdom,Europe,MAIN MARKET ,No,"11,523.73"
12/07/1949,AVON PROTECTION PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,280.34
05/11/2015,AXIOM EUROPEAN FINANCIAL DEBT FUND LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,76.24
22/03/2005,AXIS BANK LIMITED,Financials,Banks,India,Asia,PROFESSIONAL SECURITIES MARKET ,Yes,-
30/06/2016,B90 HOLDINGS PLC,Consumer Discretionary,Travel and Leisure,Isle of Man,Europe,AIM ,No,13.4
14/08/1989,BABCOCK INTERNATIONAL GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,"1,510.72"
11/02/1981,BAE SYSTEMS PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,"30,044.54"
11/02/1952,BAILLIE GIFFORD CHINA GROWTH TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,163.09
29/06/1972,BAILLIE GIFFORD EUROPEAN GROWTH TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,338.96
14/12/1981,BAILLIE GIFFORD JAPAN TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,700.86
01/07/1985,BAILLIE GIFFORD SHIN NIPPON PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,480.58
10/03/1994,BAILLIE GIFFORD UK GROWTH TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,248.96
23/03/2018,BAILLIE GIFFORD US GROWTH TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,433.32
28/04/2010,BAKER STEEL RESOURCES TRUST LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,51.85
03/11/2017,BAKKAVOR GROUP PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,603.76
21/03/2005,BALANCED COMMERCIAL PROPERTY TRUST LIMITED,Real Estate,Real Estate ,Guernsey,Europe,MAIN MARKET ,No,578.08
28/06/1945,BALFOUR BEATTY PLC,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET ,No,"2,128.88"
30/06/2021,BALTIC CLASSIFIEDS GROUP PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,770.88
03/10/1988,BANCO BILBAO VIZCAYA ARGENTARIA S.A.,Financials,Banks,Spain,Europe,MAIN MARKET ,Yes,"34,959.94"
01/07/2005,BANCO SANTANDER S.A.,Financials,Banks,Spain,Europe,MAIN MARKET ,Yes,"49,702.65"
30/06/2005,BANGO PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,159.78
12/01/1957,BANKERS INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"1,288.32"
05/10/2005,BANKMUSCAT (S.A.O.G.),Financials,Banks,Oman,Middle East,MAIN MARKET ,Yes,-
10/04/1996,BANK OF AFRICA,Financials,Banks,Morocco,Africa,MAIN MARKET ,Yes,-
19/01/2017,BANK OF CYPRUS HOLDINGS PUBLIC LIMITED COMPANY,Financials,Banks,Ireland,Europe,MAIN MARKET ,Yes,"1,057.49"
28/02/2012,BANK OF GEORGIA GROUP PLC,Financials,Banks,United Kingdom,Europe,MAIN MARKET ,No,"1,292.18"
14/01/1959,BANK OF IRELAND (GOVERNOR & COMPANY OF THE),Financials,Banks,Ireland,Europe,MAIN MARKET ,Yes,32.83
10/07/2017,BANK OF IRELAND GROUP PLC,Financials,Banks,Ireland,Europe,MAIN MARKET ,Yes,"8,781.17"
01/11/1953,BARCLAYS PLC,Financials,Banks,United Kingdom,Europe,MAIN MARKET ,No,"22,887.71"
18/12/2002,BARINGS EMERGING EMEA OPPORTUNITIES PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,60.15
07/01/2020,BARKBY GROUP PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,AIM ,No,6.66
14/07/2004,BARON OIL PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,25.25
30/01/2001,BARONSMEAD SECOND VENTURE TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,197.01
03/04/1998,BARONSMEAD VENTURE TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,191.27
25/03/1970,BARR (A.G.) PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,564.63
29/11/1968,BARRATT DEVELOPMENTS PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,"4,601.15"
24/06/2005,BARRYROE OFFSHORE ENERGY PLC,Energy,Energy,Ireland,Europe,AIM ,Yes,18.91
08/01/2013,BASE RESOURCES LIMITED,Basic Materials,Basic Resources,Australia,Pacific,AIM ,Yes,125.04
12/07/1999,BATM ADVANCED COMMUNICATIONS LD,Telecommunications,Telecommunications,Israel,Middle East,MAIN MARKET ,Yes,96.8
30/09/2021,BAY CAPITAL PLC,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,6.83
