Market,Date,Month,Year,LSE IPO,TIDM,Company,Issue type,Country of Inc.,FTSE Industry,FTSE Sector, FTSE Subsector ,Issue Price,Currency, Market Cap - Opening Price (£m) ,Nominated Advisor (AIM only),Money Raised - New (),Money Raised - Existing (),TOTAL RAISED (),Initial Trading Open,Initial Trading High,Initial Trading Low,Adj Close Day 1,Volume Initial Trading Day,Adj Close Day 7,Adj Close Day 30,Adj Close Day 90,Adj Close Day 180,Adj Close Day 365,Adj Close Day 730,Adj Close Day 1825,Adj Close Day 3650,notes
AIM,2012-07-30,2012-07-01,2012,IPO,GOOD,GOOD ENERGY GROUP PLC,New Company Placing,United Kingdom,7537.0, Electricity, Alternative Electricity,85.0,,10.64,Nplus 1 Brewin LLP,4.0,-,-,97.0,97.0,97.0,81.86695098876953,202.0,89.19187927246094,96.51680755615234,144.87930297851562,147.0481719970703,115.71720123291016,207.70506286621094,227.55615234375,246.6676025390625,
AIM,2012-07-16,2012-07-01,2012,IPO,WSBN,WISHBONE GOLD PLC,New Company Placing,Gibraltar,1777.0,Mining,Gold Mining,2.0,,3.42,Shore Capital and Corporate Limited,0.52,-,-,225.0,260.0,235.0,250.0,58283.0,287.5,275.0,275.0,262.5,195.0,150.0,77.5,10.0,
AIM,2012-07-10,2012-07-01,2012,IPO,,REVOLYMER PLC,New Company Placing,United Kingdom,1357.0,Chemicals,Specialty Chemicals,100.0,,53.02,Panmure Gordon (UK) Limited,25.0,-,-,,,,,,,,,,,,,,
AIM,2012-07-09,2012-07-01,2012,IPO,,PRAETORIAN RESOURCES LTD,New Company Placing,United Kingdom,8775.0,General Financial,Specialty Finance,50.0,,20.04,Westhouse Securities Limited,9.3,-,-,,,,,,,,,,,,,,
AIM,2012-07-05,2012-07-01,2012,IPO,,KADA TECHNOLOGY HLDGS LTD,New Company Placing,Bermuda,2733.0,Electronic & Electrical Equipment,Electrical Components & Equipment,178.0,,103.16,finnCap Limited,1.33,-,-,,,,,,,,,,,,,,
AIM,2012-06-28,2012-06-01,2012,IPO,,NEW TREND LIFESTYLE GROUP PLC,New Company Placing,United Kingdom,5379.0,General Retailers,Specialty Retailers,8.0,,8,Zeus Capital Limited,0.96,-,-,,,,,,,,,,,,,,
UK Main Market,2012-06-27,2012-06-01,2012,IPO,,DCG IRIS LTD,New Company Placing,United Kingdom,8985.0,Equity Investment Instruments,Equity Investment Instruments,100.0,,40.15,,40.15,-,-,,,,,,,,,,,,,,
AIM,2012-06-22,2012-06-01,2012,IPO,,GLOBAL MARKET GROUP LTD,New Company Placing,Cayman Islands,5555.0,Media,Media Agencies,130.0,,127.11,Grant Thornton UK LLP,9.68,-,-,,,,,,,,,,,,,,
AIM,2012-06-12,2012-06-01,2012,IPO,,UTILITYWISE PLC,New Company Placing,United Kingdom,2791.0,Support Services,Business Support Services,60.0,,36.86,finnCap Limited,6.86,-,-,,,,,,,,,,,,,,
AIM,2012-06-08,2012-06-01,2012,IPO,,SACOVEN PLC,New Company Placing,United Kingdom,8775.0,General Financial,Specialty Finance,100.0,,6,Liberum Capital Limited,3.0,-,-,,,,,,,,,,,,,,
AIM,2012-06-01,2012-06-01,2012,IPO,WAND,WANDISCO PLC,New Company Placing,United Kingdom,9537.0,Software & Computer Services,Software,180.0,,36.99,Panmure Gordon (UK) Limited,15.0,-,-,194.5,201.5,194.5,199.0,612918.0,201.0,214.5,271.0,452.5,945.0,460.0,475.0,256.0,
AIM,2012-05-29,2012-05-01,2012,IPO,,MERCOM OIL SANDS PLC,New Company Placing,United Kingdom,533.0,Oil & Gas Producers,Exploration & Production,10.0,,31.69,Libertas Capital Corporate Fin,3.35,-,-,,,,,,,,,,,,,,
AIM,2012-05-25,2012-05-01,2012,IPO,,INCADEA PLC,New Company Placing,United Kingdom,9537.0,Software & Computer Services,Software,75.0,,37.68,Cenkos Securities Limited,13.63,-,-,,,,,,,,,,,,,,
AIM,2012-05-22,2012-05-01,2012,IPO,,CLUFF NATURAL RESOURCES PLC,New Company Placing,United Kingdom,8777.0,General Financial,Investment Services,5.0,,4.35,Shore Capital & Corporate Limi,3.75,-,-,,,,,,,,,,,,,,
UK Main Market,2012-05-09,2012-05-01,2012,IPO,PU13,PUMA VCT 8 PLC,New Company Placing,United Kingdom,8985.0,Equity Investment Instruments,Equity Investment Instruments,100.0,,12.82,,12.82,-,-,97.0,97.0,97.0,-277.77386474609375,0.0,-277.77386474609375,-270.9297180175781,-269.755615234375,-280.6374816894531,-266.31927490234375,-243.4100799560547,,,
AIM,2012-05-03,2012-05-01,2012,IPO,,RETROSCREEN VIROLOGY PLC,New Company Placing,United Kingdom,4573.0,Pharmaceuticals & Biotechnology,Biotechnology,80.0,,32.78,Numis Securities Limited,15.0,-,-,,,,,,,,,,,,,,
AIM,2012-05-01,2012-05-01,2012,IPO,,SNOOZEBOX HLDGS PLC,New Company Placing,United Kingdom,5753.0,Travel & Leisure,Hotels,40.0,,20.52,Panmure Gordon & Co,12.0,-,-,,,,,,,,,,,,,,
AIM,2012-04-16,2012-04-01,2012,IPO,,ZATTIKKA PLC,New Company Placing,United Kingdom,3747.0,Leisure Goods,Toys,100.0,,21.97,Canaccord Genuity Limited,12.64,-,-,,,,,,,,,,,,,,
UK Main Market,2012-04-11,2012-04-01,2012,IPO,,TP12(I) VCT PLC,New Company Placing,United Kingdom,8985.0,Equity Investment Instruments,Equity Investment Instruments,100.0,,3.65,,3.65,-,-,,,,,,,,,,,,,,
UK Main Market,2012-04-05,2012-04-01,2012,IPO,,NMC HEALTH PLC,New Company Placing,United Kingdom,4533.0,Health Care Equipment & Services,Health Care Providers,210.0,,390,,117.0,-,-,,,,,,,,,,,,,,
AIM,2012-04-05,2012-04-01,2012,IPO,,NAIBU GLOBAL INTL CO LTD,New Company Placing,United Kingdom,3765.0,Personal Goods,Footwear,124.0,,68,Daniel Stewart & Company plc,6.0,-,-,,,,,,,,,,,,,,
AIM,2012-04-02,2012-04-01,2012,IPO,,AUHUA CLEAN ENERGY PLC,New Company Placing,United Kingdom,583.0,Alternative Energy,Renewable Energy Equipment,40.0,,25.43,NORTHLAND CAPITAL PARNERS LIMI,1.0,-,-,,,,,,,,,,,,,,
AIM,2012-03-30,2012-03-01,2012,IPO,,RARE EARTHS GLOBAL PLC,New Company Placing,Cayman Islands,1775.0,Mining,General Mining,247.0,,158.33,Charles Stanley Securities,6.4,-,-,,,,,,,,,,,,,,
AIM,2012-03-26,2012-03-01,2012,IPO,BMN,BUSHVELD MINERALS LTD,New Company Placing,United Kingdom,1775.0,Mining,General Mining,20.0,,59.73,Charles Stanley Securities,5.73,-,-,21.5,23.25,21.5,22.5,1522980.0,22.5,22.0,18.0,14.5,12.625,5.425000190734863,6.300000190734863,12.300000190734863,
UK Main Market,2012-03-23,2012-03-01,2012,IPO,,BLUECREST BLUETREND LTD,New Company Placing,United Kingdom,8985.0,Equity Investment Instruments,Equity Investment Instruments,100.0,,105.21,,105.21,-,-,,,,,,,,,,,,,,
UK Main Market,2012-03-22,2012-03-01,2012,IPO,,ENERGY ASSETS GROUP PLC,New Company Placing,United Kingdom,2791.0,Support Services,Business Support Services,210.0,,57,,15.0,-,-,,,,,,,,,,,,,,
UK Main Market,2012-03-19,2012-03-01,2012,IPO,,OCTOPUS VCT 4 PLC,New Company Placing,United Kingdom,8985.0,Equity Investment Instruments,Equity Investment Instruments,100.0,,3.32,,3.32,-,-,,,,,,,,,,,,,,
UK Main Market,2012-03-19,2012-03-01,2012,IPO,,OCTOPUS VCT 3 PLC,New Company Placing,United Kingdom,8985.0,Equity Investment Instruments,Equity Investment Instruments,100.0,,3.32,,3.32,-,-,,,,,,,,,,,,,,
UK Main Market,2012-03-06,2012-03-01,2012,IPO,,ALCENTRA EUROPEAN FLTG RTE INC FD,New Company Placing,United Kingdom,8985.0,Equity Investment Instruments,Equity Investment Instruments,100.0,,80.72,,80.72,-,-,,,,,,,,,,,,,,
AIM,2012-03-06,2012-03-01,2012,IPO,,QANNAS INVESTMENTS LTD,New Company Placing,United Kingdom,8985.0,Equity Investment Instruments,Equity Investment Instruments,63.3,,12.47,Deloitte LLP,11.69,-,-,,,,,,,,,,,,,,
AIM,2012-03-02,2012-03-01,2012,IPO,ROCK,PAPUA MINING PLC,New Company Placing,United Kingdom,1775.0,Mining,General Mining,44.0,,14.03,Cenkos Securities Limited,7.01,-,-,49.5,60.0,44.0,55.5,699827.0,57.0,56.5,46.5,45.5,84.5,24.0,0.875,0.4050000011920929,
AIM,2012-02-21,2012-02-01,2012,IPO,BLV,BELVOIR LETTINGS PLC,New Company Placing,United Kingdom,8637.0, Real Estate Investment & Services, Real Estate Services,75.0,,11.21,Seymour Pierce Limited,7.29,-,-,79.0,85.0,77.0,47.518394470214844,265932.0,45.2144775390625,46.07844161987305,45.79045486450195,46.94241714477539,82.7269515991211,107.35629272460938,74.1622085571289,236.1785888671875,
AIM,2012-02-15,2012-02-01,2012,IPO,,SPORTS STARS MEDIA PLC,New Company Placing,United Kingdom,5553.0,Media,Broadcasting & Entertainment,1.0,,3.6,Cairn Financial Advisers LLP,1.6,-,-,,,,,,,,,,,,,,
AIM,2012-02-08,2012-02-01,2012,IPO,,LEAD ALL INVESTMENTS LTD,New Company Placing,Cayman Islands,8775.0,General Financial,Specialty Finance,10.0,,3,ZAI Corporate Finance Limited,3.0,-,-,,,,,,,,,,,,,,
AIM,2012-02-03,2012-02-01,2012,IPO,,TANGIERS PETROLEUM LTD,New Company Placing,Australia,533.0,Oil & Gas Producers,Exploration & Production,33.0,,33.2,RFC Corporate Finance Limited,4.21,-,-,,,,,,,,,,,,,,
UK Main Market,2012-01-24,2012-01-01,2012,IPO,,RUSPETRO PLC,International Offering (GDR),United Kingdom,533.0,Oil & Gas Producers,Exploration & Production,134.0,,440.59,,162.87,-,-,,,,,,,,,,,,,,
International Main Market,2011-12-21,2011-12-01,2011,IPO,,BILFINGER BERGER GLOBAL INFRA SICAV,New Company Placing,Luxembourg,8985.0,Equity Investment Instruments,Equity Investment Instruments,100.0,,212,,212.0,-,-,,,,,,,,,,,,,,
AIM,2011-12-08,2011-12-01,2011,IPO,,TLA WORLDWIDE PLC,New Company Placing,United Kingdom,8985.0,Equity Investment Instruments,Equity Investment Instruments,20.0,,12.77,Cenkos Securities Limited,11.96,-,-,,,,,,,,,,,,,,
AIM,2011-11-28,2011-11-01,2011,IPO,INSE,INSPIRED ENERGY PLC,New Company Placing,United Kingdom,2791.0,Support Services,Business Support Services,3.0,,10.62,Shore Capital & Corporate Limi,3.35,-,-,3.68969988822937,4.238100051879883,3.68969988822937,3.12923264503479,7853267.0,3.0314836502075195,2.7380783557891846,3.12923264503479,2.640329599380493,3.5203871726989746,7.128723621368408,11.284400939941406,16.159889221191406,
AIM,2011-11-25,2011-11-01,2011,IPO,,MAGNOLIA PETROLEUM PLC,New Company Placing,United Kingdom,533.0,Oil & Gas Producers,Exploration & Production,0.55,,3.08,Daniel Stewart & Company plc,1.21,-,-,,,,,,,,,,,,,,
AIM,2011-11-17,2011-11-01,2011,IPO,,SPHERE MEDICAL HLDG PLC,New Company Placing,United Kingdom,4573.0,Pharmaceuticals & Biotechnology,Biotechnology,92.5,,16.52,Peel Hunt,14.0,-,-,,,,,,,,,,,,,,
SFM,2011-11-09,2011-11-01,2011,IPO,,DAMILLE INVESTMENTS II LTD,New Company Placing,United Kingdom,8985.0,Equity Investment Instruments,Equity Investment Instruments,100.0,,74,,74.0,-,-,,,,,,,,,,,,,,
AIM,2011-11-09,2011-11-01,2011,IPO,,NANDAN CLEANTEC PLC,New Company Placing,United Kingdom,587.0, Alternative Energy, Alternative Fuels,60.0,,166.1,Arden Partners Limited,16.1,-,-,,,,,,,,,,,,,,
UK Main Market,2011-11-02,2011-11-01,2011,IPO,POLY,POLYMETAL INTL PLC,New Company Placing,United Kingdom,1779.0,Mining,Platinum & Precious Metals,920.0,,3551.12,,490.82,-,-,920.0,975.0,915.0,472.15106201171875,9864658.0,470.61138916015625,497.81134033203125,548.618896484375,487.54718017578125,580.939208984375,340.9436340332031,557.1389770507812,1135.3782958984375,
AIM,2011-11-02,2011-11-01,2011,IPO,STB,SECURE TRUST BANK PLC,New Company Placing,United Kingdom,8355.0,Banks,Banks,720.0,,102,Hawkpoint Partners Limited,24.99,-,-,760.0,765.0,745.0,487.2637023925781,15501.0,490.4906005859375,496.9443359375,648.6093139648438,686.7823486328125,942.7703247070312,1469.8094482421875,1864.9317626953125,1164.4405517578125,
AIM,2011-09-30,2011-09-01,2011,IPO,,AFRICAN POTASH LIMITED,New Company Placing,United Kingdom,1775.0,Mining,General Mining,5.0,,7.94,Seymour Pierce Limited,4.19,-,-,,,,,,,,,,,,,,
AIM,2011-09-28,2011-09-01,2011,IPO,GLR,GALILEO RESOURCES PLC,New Company Placing,United Kingdom,1775.0,Mining,General Mining,23.0,,16.26,Beaumont Cornish Limited,3.34,-,-,34.0,34.0,34.0,36.5,140000.0,36.5,35.0,39.0,38.5,34.5,13.125,1.225000023841858,1.3250000476837158,
AIM,2011-09-20,2011-09-01,2011,IPO,,RADIANT GROWTH INVESTMENTS LTD,New Company Placing,United Kingdom,8775.0,General Financial,Specialty Finance,10.0,,10.32,Daniel Stewart & Company plc,6.32,-,-,,,,,,,,,,,,,,
AIM,2011-09-15,2011-09-01,2011,IPO,,FLUORMIN PLC,New Company Placing,United Kingdom,1775.0,Mining,General Mining,105.0,,56.73,Westhouse Securities LLP,3.68,-,-,,,,,,,,,,,,,,
AIM,2011-09-15,2011-09-01,2011,IPO,,PORT ERIN BIOPHARMA INVESTMENTS LTD,New Company Placing,United Kingdom,4573.0,Pharmaceuticals & Biotechnology,Biotechnology,10.0,,3.3,Libertas Capital Corporate Fin,3.0,-,-,,,,,,,,,,,,,,
AIM,2011-09-12,2011-09-01,2011,IPO,,CERES MEDIA INTL PLC,New Company Placing,United Kingdom,1737.0,Forestry & Paper,Paper,18.0,,4.93,Cairn Financial Advisers LLP,1.0,-,-,,,,,,,,,,,,,,
AIM,2011-08-31,2011-08-01,2011,IPO,,MONEYSWAP PLC,New Company Placing,Gibraltar,8773.0,General Financial,Consumer Finance,5.0,,19.98,Allenby Capital Limited,3.13,-,-,,,,,,,,,,,,,,
AIM,2011-08-18,2011-08-01,2011,IPO,,ALLANFIELD GROUP PLC,New Company Placing,United Kingdom,8534.0,Nonlife Insurance,Insurance Brokers,67.0,,11.33,finncap limited,1.33,-,-,,,,,,,,,,,,,,
AIM,2011-08-18,2011-08-01,2011,IPO,GWMO,GREAT WESTERN MINING CORP PLC,New Company Placing,Republic of Ireland,1775.0,Mining,General Mining,11.0,,5.1,Libertas Capital Corporate Fin,0.98,-,-,13.5,13.5,13.0,13.0,58728.0,12.75,12.375,8.875,8.625,4.375,1.524999976158142,0.49000000953674316,0.18000000715255737,
AIM,2011-08-08,2011-08-01,2011,IPO,,ESCHER GROUP HLDGS PLC,New Company Placing,Republic of Ireland,9537.0,Software & Computer Services,Software,170.0,,28.96,Panmure Gordon (Broking) Limit,15.36,-,-,,,,,,,,,,,,,,
AIM,2011-08-04,2011-08-01,2011,IPO,MYX,MYCELX TECHNOLOGIES CORP,New Company Placing,USA,573.0,"Oil Equipment, Services & Distribution",Oil Equipment & Services,210.0,,27.14,Numerica Capital Markets Limit,12.24,-,-,225.0,225.0,225.0,220.0,870.0,220.0,225.0,227.5,240.0,240.0,550.0,31.5,38.0,
AIM,2011-08-01,2011-08-01,2011,IPO,,CHINA AFRICA RESOURCES PLC,New Company Placing,United Kingdom,1775.0,Mining,General Mining,40.0,,9.23,Ambrian Partners Limited,4.7,-,-,,,,,,,,,,,,,,
AIM,2011-07-28,2011-07-01,2011,IPO,,SOVEREIGN MINES OF AFRICA PLC,New Company Placing,United Kingdom,1775.0,Mining,General Mining,10.0,,16.57,Shore Capital & Corporate Limi,1.25,-,-,,,,,,,,,,,,,,
AIM,2011-07-25,2011-07-01,2011,IPO,SPSY,SPECTRA SYSTEMS CORP,New Company Placing,USA,2791.0,Support Services,Business Support Services,75.3,,18.27,W H Ireland Limited,14.0,-,-,80.0,80.0,80.0,54.784095764160156,0.0,56.8385009765625,68.48011779785156,68.48011779785156,68.48011779785156,13.011221885681152,15.408026695251465,16.00722885131836,140.9310302734375,
UK Main Market,2011-07-22,2011-07-01,2011,IPO,,PUMA VCT VII PLC,New Company Placing,United Kingdom,8985.0,Equity Investment Instruments,Equity Investment Instruments,100.0,,13.51,,13.51,-,-,,,,,,,,,,,,,,
International Main Market,2011-07-18,2011-07-01,2011,IPO,,PHOSAGRO OJSC,International Offering (GDR),Russia,1357.0,Chemicals,Specialty Chemicals,14.0,,3262.22,,335.24,-,-,,,,,,,,,,,,,,
AIM,2011-07-18,2011-07-01,2011,IPO,,BAYFIELD ENERGY HLDGS PLC,New Company Placing,United Kingdom,533.0,Oil & Gas Producers,Exploration & Production,60.0,,128.75,Seymour Pierce Limited,54.38,-,-,,,,,,,,,,,,,,
AIM,2011-07-18,2011-07-01,2011,IPO,,FERREX PLC,New Company Placing,United Kingdom,1757.0,Industrial Metals,Steel,3.0,,15.59,Grant Thornton UK LLP,2.0,-,-,,,,,,,,,,,,,,
SFM,2011-07-14,2011-07-01,2011,IPO,DNA2,DORIC NIMROD AIR TWO LTD,New Company Placing,United Kingdom,8985.0,Equity Investment Instruments,Equity Investment Instruments,200.0,,145,,136.0,-,-,212.0,214.0,210.0,77.64591979980469,39540.0,79.09049987792969,80.89623260498047,81.61851501464844,80.71566009521484,81.07678985595703,87.0356674194336,76.56250762939453,51.428070068359375,
UK Main Market,2011-07-13,2011-07-01,2011,IPO,,OPHIR ENERGY PLC,New Company Placing,United Kingdom,533.0,Oil & Gas Producers,Exploration & Production,250.0,,798.7,,234.67,-,-,,,,,,,,,,,,,,
AIM,2011-07-11,2011-07-01,2011,IPO,,WATERLOGIC PLC,New Company Placing,United Kingdom,2791.0,Support Services,Business Support Services,145.0,,112.53,Liberum Capital Limited,48.47,-,-,,,,,,,,,,,,,,
AIM,2011-07-08,2011-07-01,2011,IPO,SMS,SMART METERING SYSTEMS PLC,New Company Placing,United Kingdom,2791.0,Support Services,Business Support Services,60.0,,50,Cenkos Securities Limited,10.0,-,-,66.0,80.0,66.0,62.67399215698242,314137.0,63.509647369384766,64.34527587890625,75.4177017211914,77.71573638916016,141.22540283203125,265.0485534667969,356.4240417480469,805.4383544921875,
AIM,2011-07-06,2011-07-01,2011,IPO,,BLUEBIRD ENERGY PLC,New Company Placing,United Kingdom,533.0,Oil & Gas Producers,Exploration & Production,1.0,,4.76,W.H. Ireland Limited,2.0,-,-,,,,,,,,,,,,,,
International Main Market,2011-07-01,2011-07-01,2011,IPO,,SBERBANK OF RUSSIA,International Offering (GDR),Russia,8355.0,Banks,Banks,187.8,,32785.18,,3216.52,-,-,,,,,,,,,,,,,,
AIM,2011-07-01,2011-07-01,2011,IPO,NTQ,ENTEQ UPSTREAM PLC,New Company Placing,United Kingdom,573.0,"Oil Equipment, Services & Distribution",Oil Equipment & Services,100.0,,15.05,INVESTEC BANK PLC,15.0,-,-,113.75,113.75,113.75,114.5,80000.0,118.5,124.5,121.5,121.0,116.5,62.0,13.0,17.5,
International Main Market,2011-06-29,2011-06-01,2011,IPO,,GLOBAL PORTS INVESTMENTS PLC,International Offering (GDR),Cyprus,2777.0,Industrial Transportation,Transportation Services,15.0,,1503.82,,332.23,-,-,,,,,,,,,,,,,,
AIM,2011-06-28,2011-06-01,2011,IPO,,CONTINENTAL FARMERS GROUP PLC,New Company Placing,United Kingdom,3573.0,Food Producers,Farming & Fishing,23.14,,37.83,Davy Corporate Finance Limited,14.79,-,-,,,,,,,,,,,,,,
AIM,2011-06-28,2011-06-01,2011,IPO,,MUSIC FESTIVALS PLC,New Company Placing,United Kingdom,5755.0,Travel & Leisure,Recreational Services,65.0,,2.79,Merchant Securities Limited,2.46,-,-,,,,,,,,,,,,,,
AIM,2011-06-23,2011-06-01,2011,IPO,ZAM,ZAMBEEF PRODUCTS,New Company Placing,Zambia,3577.0,Food Producers,Food Products,38.06,,94.38,Renaissance Capital Limited,20.44,-,-,44.0,44.0,38.060001373291016,-1901.1998291015625,7092939.0,-2072.09423828125,-2242.988525390625,-1837.1146240234375,-2072.09423828125,33.25,49.25,8.0,8.5,
UK Main Market,2011-06-22,2011-06-01,2011,IPO,,VALLARES PLC,New Company Placing,United Kingdom,8775.0,General Financial,Specialty Finance,10.0,,1330.9,,1330.9,-,-,,,,,,,,,,,,,,
AIM,2011-06-22,2011-06-01,2011,IPO,,JELLYBOOK LTD,New Company Placing,Bermuda,8775.0,General Financial,Specialty Finance,10.0,,17.08,Allenby Capital Limited,11.0,-,-,,,,,,,,,,,,,,
AIM,2011-06-22,2011-06-01,2011,IPO,,UBISENSE GROUP PLC,New Company Placing,United Kingdom,9578.0,Technology Hardware & Equipment,Telecommunications Equipment,180.0,,38.56,Canaccord Genuity Limited,8.67,-,-,,,,,,,,,,,,,,
AIM,2011-06-17,2011-06-01,2011,IPO,,CIRCLE HLDGS PLC,New Company Placing,United Kingdom,4533.0,Health Care Equipment & Services,Health Care Providers,152.0,,95.41,Numerica Capital Markets Limit,25.28,-,-,,,,,,,,,,,,,,
AIM,2011-06-17,2011-06-01,2011,IPO,,KOLAR GOLD LTD,New Company Placing,United Kingdom,1777.0,Mining,Gold Mining,40.0,,40.04,Cenkos Securities Limited,12.0,-,-,,,,,,,,,,,,,,
AIM,2011-06-15,2011-06-01,2011,IPO,,IN-DEED ONLINE PLC,New Company Placing,United Kingdom,5377.0,General Retailers,Specialized Consumer Services,42.0,,8.57,Numis Securities Limited,1.58,-,-,,,,,,,,,,,,,,
AIM,2011-06-14,2011-06-01,2011,IPO,,3LEGS RESOURCES PLC,New Company Placing,United Kingdom,533.0,Oil & Gas Producers,Exploration & Production,190.0,,161.09,Jefferies International Limite,62.5,-,-,,,,,,,,,,,,,,
AIM,2011-06-10,2011-06-01,2011,IPO,,TOUCHSTONE GOLD LTD,New Company Placing,British Virgin Islands,1777.0,Mining,Gold Mining,27.0,,28,Collins Stewart Europe Limited,10.0,-,-,,,,,,,,,,,,,,
AIM,2011-06-08,2011-06-01,2011,IPO,SML,STRATEGIC MINERALS PLC,New Company Placing,United Kingdom,1757.0,Industrial Metals,Steel,5.0,,14.82,Allenby Capital Limited,0.75,-,-,61.5,62.0,59.0,60.0,133000.0,54.0,50.5,49.58000183105469,51.0,86.0,105.5999984741211,17.0,0.6349999904632568,
UK Main Market,2011-05-24,2011-05-01,2011,IPO,GLEN,GLENCORE INTL PLC,New Company Placing,United Kingdom,1775.0,Mining,General Mining,530.0,,36344.25,,6193.48,-,-,548.0,559.1599731445312,528.9400024414062,300.3430480957031,554948068.0,295.9228820800781,273.1421813964844,224.4072723388672,246.01785278320312,209.0649871826172,202.7403106689453,95.85498046875,308.364990234375,
AIM,2011-05-23,2011-05-01,2011,IPO,,CHINA NEW ENERGY LTD,New Company Placing,United Kingdom,587.0,Alternative Energy,Alternative Fuels,7.0,,20.77,Cairn Financial Advisers LLP,0.66,-,-,,,,,,,,,,,,,,
AIM,2011-05-11,2011-05-01,2011,IPO,,NEW WORLD OIL & GAS PLC,New Company Placing,United Kingdom,533.0,Oil & Gas Producers,Exploration & Production,5.0,,3.76,Beaumont Cornish Limited,3.0,-,-,,,,,,,,,,,,,,
UK Main Market,2011-04-28,2011-04-01,2011,IPO,DIVI,DIVERSE INCOME TRUST PLC(THE),New Company Placing,United Kingdom,8985.0,Equity Investment Instruments,Equity Investment Instruments,50.0,,51,,50.0,-,-,50.0,50.0,50.0,33.73760223388672,0.0,34.41234588623047,34.749732971191406,34.41234588623047,31.653976440429688,34.45342254638672,46.461830139160156,73.26589965820312,107.80833435058594,
UK Main Market,2011-04-28,2011-04-01,2011,IPO,HINT,HENDERSON INTL INCOME TRUST PLC,New Company Placing,United Kingdom,8985.0,Equity Investment Instruments,Equity Investment Instruments,100.0,,41.5,,41.5,-,-,102.0,102.0,102.0,66.30227661132812,0.0,66.30227661132812,66.30227661132812,65.08348846435547,58.74406814575195,66.13639068603516,79.7842788696289,92.52579498291016,147.7941131591797,
International Main Market,2011-04-27,2011-04-01,2011,IPO,,NOMOS BANK OJSC,International Offering (GDR),Russia,8355.0,Banks,Banks,17.5,,1945.6,,490.23,-,-,,,,,,,,,,,,,,
UK Main Market,2011-04-26,2011-04-01,2011,IPO,,DOWNING PLANNED EXIT VCT 2011 PLC,New Company Placing,United Kingdom,8985.0,Equity Investment Instruments,Equity Investment Instruments,93.5,,7.31,,7.31,-,-,,,,,,,,,,,,,,
UK Main Market,2011-04-20,2011-04-01,2011,IPO,,ETALON GROUP LTD,International Offering (GDR),United Kingdom,1775.0,Mining,General Mining,428.855,,1241.14,,352.27,-,-,,,,,,,,,,,,,,
UK Main Market,2011-04-20,2011-04-01,2011,IPO,NBMI,NB GLOBAL FLOATING RATE INC FD LTD,New Company Placing,United Kingdom,8985.0,Equity Investment Instruments,Equity Investment Instruments,100.0,,316.81,,309.39,-,-,100.0,100.0,100.0,56.89207458496094,0.0,58.17210388183594,58.598819732666016,58.17210388183594,54.90082550048828,58.794654846191406,65.12706756591797,64.44154357910156,74.55586242675781,
AIM,2011-04-20,2011-04-01,2011,IPO,,ORACLE COALFIELDS PLC,New Company Placing,United Kingdom,1771.0,Mining,Coal,10.0,,21.42,Libertas Capital Corporate Fin,3.0,-,-,,,,,,,,,,,,,,
International Main Market,2011-04-13,2011-04-01,2011,IPO,,ROS AGRO PLC,New Company Placing,Cyprus,3577.0,Food Producers,Food Products,15.0,,1091.16,,184.43,-,-,,,,,,,,,,,,,,
UK Main Market,2011-04-13,2011-04-01,2011,IPO,,PERFORM GROUP LTD,New Company Placing,United Kingdom,5553.0,Media,Broadcasting & Entertainment,260.0,,586.15,,72.54,-,-,,,,,,,,,,,,,,
UK Main Market,2011-04-12,2011-04-01,2011,IPO,,FORESIGHT CLEARWATER VCT PLC,New Company Placing,United Kingdom,8985.0,Equity Investment Instruments,Equity Investment Instruments,100.0,,1.14,,1.14,-,-,,,,,,,,,,,,,,
UK Main Market,2011-04-11,2011-04-01,2011,IPO,,PROVEN PLANNED EXIT VCT PLC,New Company Placing,United Kingdom,8985.0,Equity Investment Instruments,Equity Investment Instruments,0.1,,25.04,,25.01,-,-,,,,,,,,,,,,,,
AIM,2011-04-11,2011-04-01,2011,IPO,MSYS,MICROSAIC SYSTEMS PLC,New Company Placing,United Kingdom,2737.0,Electronic & Electrical Equipment,Electronic Equipment,32.0,,12,Numis Securities Limited,4.0,-,-,37.0,41.0,37.0,40.0,153998.0,42.0,42.5,26.0,28.5,32.0,44.5,10.25,0.2199999988079071,
UK Main Market,2011-04-08,2011-04-01,2011,IPO,,LONGBOW GROWTH & INCOME VCT PLC,New Company Placing,United Kingdom,8985.0,Equity Investment Instruments,Equity Investment Instruments,100.0,,1.11,,1.11,-,-,,,,,,,,,,,,,,
AIM,2011-03-31,2011-03-01,2011,IPO,,TOP CREATION INVESTMENTS LTD,New Company Placing,United Kingdom,8633.0,Real Estate Investment & Services,Real Estate Holding & Development,1.0,,5,Daniel Stewart & Company plc,3.0,-,-,,,,,,,,,,,,,,
International Main Market,2011-03-23,2011-03-01,2011,IPO,,HAGL JSC,International Offering (GDR),Vietnam,3728.0,Company Bonds,Company Bonds,1.0,,123.14,,123.14,-,-,,,,,,,,,,,,,,
AIM,2011-03-23,2011-03-01,2011,IPO,SARAH,WESSEX EXPLORATION PLC,New Company Placing,United Kingdom,533.0,Oil & Gas Producers,Exploration & Production,3.0,,14.38,W H Ireland Limited,3.0,-,-,,,,,,,,,,,,,,
